Date, AirTemperature
2016-01-11,53.30000003
2016-01-12,52.65875006
2016-01-13,52.57625
2016-01-14,44.26250005
2016-01-15,50.36000005
2016-01-16,52.23874982
2016-01-17,55.40374955
2016-01-18,55.38500023
2016-01-19,55.21624986
2016-01-20,51.90500013
2016-01-21,53.56250016
2016-01-22,55.82750003
2016-01-23,52.48250024
2016-01-24,47.32624976
2016-01-25,52.4224995
2016-01-26,48.39499998
2016-01-27,51.81499998
2016-01-28,49.61749983
2016-01-29,55.44874978
2016-01-30,51.57499981
2016-01-31,48.20374974
2016-02-01,46.82000001
2016-02-02,43.27250004
2016-02-03,45.04999987
2016-02-04,50.83625023
2016-02-05,47.3412505
2016-02-06,49.46750013
2016-02-07,53.62624995
2016-02-08,61.15624976
2016-02-09,56.29624987
2016-02-10,53.88874984
2016-02-11,55.99625007
2016-02-12,54.39875007
2016-02-13,55.13750013
2016-02-14,60.26000007
2016-02-15,66.64250048
2016-02-16,59.44250003
2016-02-17,56.96000051
2016-02-18,51.20375045
2016-02-19,48.08375017
2016-02-20,47.91499996
2016-02-21,49.27250012
2016-02-22,52.52750015
2016-02-23,52.38500007
2016-02-24,54.09124978
2016-02-25,56.03750038
2016-02-26,55.70750014
2016-02-27,55.55000027
2016-02-28,52.87250018
2016-02-29,55.70750014
2016-03-01,55.94750031
2016-03-02,56.68625021
2016-03-03,57.4625001
2016-03-04,57.95750054
2016-03-05,58.60999997
2016-03-06,51.83000024
2016-03-07,51.73625008
2016-03-08,47.36749975
2016-03-09,52.79374965
2016-03-10,55.90624968
2016-03-11,53.07874997
2016-03-12,51.19625012
2016-03-13,55.56874998
2016-03-14,54.17130445
2016-03-15,52.77499978
2016-03-16,55.50875012
2016-03-17,59.68624989
2016-03-18,54.69875034
2016-03-19,56.62625027
2016-03-20,54.73250024
2016-03-21,52.08125011
2016-03-22,51.48500013
2016-03-23,54.66125003
2016-03-24,55.63999995
2016-03-25,56.79125055
2016-03-26,58.32500013
2016-03-27,56.45375013
2016-03-28,51.4437499
2016-03-29,51.01625021
2016-03-30,51.41000001
2016-03-31,54.10249972
2016-04-01,54.01625005
2016-04-02,56.98625024
2016-04-03,55.80875015
2016-04-04,59.10874971
2016-04-05,62.78750014
2016-04-06,68.55875015
2016-04-07,61.6587499
2016-04-08,59.46500007
2016-04-09,57.33124971
2016-04-10,55.93624965
2016-04-11,58.66249959
2016-04-12,55.65125004
2016-04-13,55.41124964
2016-04-14,55.5875001
2016-04-15,58.4375
2016-04-16,69.1850005
2016-04-17,65.76124986
2016-04-18,66.61999997
2016-04-19,63.83375009
2016-04-20,59.82874974
2016-04-21,60.19624996
2016-04-22,57.11000005
2016-04-23,55.55374948
2016-04-24,58.16374985
2016-04-25,57.25249966
2016-04-26,55.19750031
2016-04-27,54.65374986
2016-04-28,60.67250005
2016-04-29,60.49250023
2016-04-30,70.27625028
2016-05-01,71.06374963
2016-05-02,63.33125035
2016-05-03,62.00750017
2016-05-04,61.41500036
2016-05-05,59.33000032
2016-05-06,55.53500017
2016-05-07,55.6624999
2016-05-08,60.10999958
2016-05-09,58.36625004
2016-05-10,60.72499998
2016-05-11,51.32428605
